Year,Real Value Added by Industry,Real Gross Output by Industry
2012,"22,512",31535
2013,22474,31098
2014,22759,31441
2015,23333,32383
2016,23548,32786
2017,23485,32122
2018,24177,32870
2019,26249,35989
2020,25795,36335
2021,25981,37076
2022,27496,38518
2023,29679,40343
