observation_date,WPU10
2012-01-01,100.0
2013-01-01,97.1
2014-01-01,97.8
2015-01-01,91.1
2016-01-01,88.4
2017-01-01,94.5
2018-01-01,101.7
2019-01-01,100.6
2020-01-01,100.0
2021-01-01,133.6
2022-01-01,148.6
2023-01-01,141.4
