Year,Real Value Added by Industry,Real Gross Output by Industry,Employment ,Compensation
2012,"79,861",151467,433,44438
2013,89170,159229,432,45211
2014,90495,164508,426,45941
2015,98536,173324,424,48237
2016,99506,173764,411,47959
2017,98699,175789,399,49104
2018,95196,172479,387,48686
2019,96575,172473,390,52606
2020,92167,163865,365,51661
2021,85568,156995,351,52655
2022,87779,164711,361,54975
2023,86351,161677,373,57924
