observation_date,G160241A027NBEA
2012-01-01,15.825
2013-01-01,15.194
2014-01-01,15.703
2015-01-01,15.355
2016-01-01,14.978
2017-01-01,14.518
2018-01-01,15.685
2019-01-01,16.591
2020-01-01,17.614
2021-01-01,19.273
2022-01-01,20.170
2023-01-01,21.495
